Hora,Temperatura (°C)
16:00:00,22.9899
16:00:01,23.0826
16:00:02,23.5612
16:00:03,19.3817
16:00:04,18.189
16:00:05,17.2102
16:00:06,16.4662
16:00:07,15.5354
16:00:08,14.9005
16:00:09,14.1454
16:00:10,14.0625
16:00:11,13.2078
16:00:12,12.5935
16:00:13,12.2888
16:00:14,11.8229
16:00:15,11.4281
16:00:16,11.2187
16:00:17,10.9273
16:00:18,10.4319
16:00:19,10.1623
16:00:20,9.9715
16:00:21,9.4251
16:00:22,9.3527
16:00:23,9.6364
16:00:24,9.5149
16:00:25,9.0567
16:00:26,9.0514
16:00:27,8.8818
16:00:28,9.2136
16:00:29,8.7912
16:00:30,8.493
16:00:31,8.2711
16:00:32,8.0854
16:00:33,8.3046
16:00:34,8.0823
16:00:35,7.9134
16:00:36,7.9829
16:00:37,7.8616
16:00:38,8.2626
16:00:39,8.0898
16:00:40,7.9071
16:00:41,8.1122
16:00:42,7.853
16:00:43,7.6716
16:00:44,8.0302
16:00:45,7.5871
16:00:46,7.3323
16:00:47,7.4692
16:00:48,7.3584
16:00:49,7.2764
16:00:50,7.6498
16:00:51,7.8087
16:00:52,7.2739
16:00:53,7.591
16:00:54,7.3948
16:00:55,7.4212
16:00:56,7.4042
16:00:57,7.3603
16:00:58,7.5078
16:00:59,7.3656
16:01:00,7.5437
16:01:01,7.4919
16:01:02,7.4614
16:01:03,7.3533
16:01:04,7.4067
16:01:05,7.6221
16:01:06,7.581
16:01:07,7.3419
16:01:08,7.5161
16:01:09,7.6215
16:01:10,7.2301
16:01:11,7.5879
16:01:12,7.3929
16:01:13,7.5923
16:01:14,7.3766
16:01:15,7.2082
16:01:16,7.2368
16:01:17,7.5078
16:01:18,7.542
16:01:19,7.3538
16:01:20,7.6033
16:01:21,7.2313
16:01:22,7.4893
16:01:23,7.3042
16:01:24,7.3946
16:01:25,7.5077
16:01:26,7.3609
16:01:27,7.4378
16:01:28,7.6627
16:01:29,7.4067
16:01:30,7.6351
16:01:31,7.3173
16:01:32,7.5857
16:01:33,7.7331
16:01:34,7.1004
16:01:35,7.3711
16:01:36,7.5933
16:01:37,7.4672
16:01:38,7.56
16:01:39,7.4023
16:01:40,7.514
16:01:41,7.4748
16:01:42,7.6888
16:01:43,7.5411
16:01:44,7.5546
16:01:45,7.4334
16:01:46,7.4212
16:01:47,7.4301
16:01:48,7.5638
16:01:49,7.4319
16:01:50,7.5469
16:01:51,7.8356
16:01:52,7.6409
16:01:53,7.4473
16:01:54,7.6942
16:01:55,7.434
16:01:56,7.1705
16:01:57,7.337
16:01:58,7.1975
16:01:59,7.4432
16:02:00,7.503
16:02:01,7.7711
16:02:02,7.5529
16:02:03,7.4646
16:02:04,7.6341
16:02:05,7.1425
16:02:06,7.5381
16:02:07,7.6246
16:02:08,7.2609
16:02:09,7.6849
16:02:10,7.5547
16:02:11,7.4329
16:02:12,7.6023
16:02:13,7.8672
16:02:14,7.5294
16:02:15,7.5401
16:02:16,7.4257
16:02:17,7.3626
16:02:18,7.6343
16:02:19,7.3616
16:02:20,7.5116
16:02:21,7.4228
16:02:22,7.5774
16:02:23,7.554
16:02:24,7.6678
16:02:25,7.4175
16:02:26,7.4564
16:02:27,7.3417
16:02:28,7.4282
16:02:29,7.561
16:02:30,7.6224
16:02:31,7.3509
16:02:32,7.6406
16:02:33,7.7192
16:02:34,7.5668
16:02:35,7.8035
16:02:36,7.3749
16:02:37,7.2987
16:02:38,7.2124
16:02:39,7.7419
16:02:40,7.6058
16:02:41,7.491
16:02:42,7.5453
16:02:43,7.318
16:02:44,7.8955
16:02:45,7.5209
16:02:46,7.5177
16:02:47,7.6174
16:02:48,7.5778
16:02:49,7.5362
16:02:50,7.3722
16:02:51,7.5762
16:02:52,7.8043
16:02:53,7.7175
16:02:54,7.7576
16:02:55,7.4173
16:02:56,7.34
16:02:57,7.4797
16:02:58,7.509
16:02:59,7.6769
16:03:00,7.2263
